Y,X
36.819288,127.158229
36.818853,127.155246
36.815715,127.153164
36.81647582,127.1532064
36.816348,127.153224
36.81530093,127.150956
36.818998,127.154915
36.818995,127.154143
36.818611,127.153829
36.81836915,127.1534639
36.81934727,127.153612
36.819492,127.153318
36.819315,127.152796
36.818719,127.152374
36.818382,127.152301
36.818435,127.151985
36.818464,127.151821
36.81861827,127.151848
36.818795,127.151802
36.818874,127.152068
36.819017,127.152119
36.819983,127.151768
36.820439,127.1622398
36.820574,127.162648
36.820635,127.162892
36.820816,127.163375
36.821302,127.162874
36.82069488,127.1622398
36.821237,127.162276
36.821438,127.162156
36.821492,127.162285
36.821765,127.162466
36.821741,127.162704
36.822037,127.162486
36.82202549,127.159569
36.822968,127.159248
36.823022,127.159131
36.822907,127.159144
36.822899,127.158717
36.822806,127.158201
36.822961,127.158038
36.820954,127.158075
36.820856,127.158191
36.820374,127.158097
36.820957,127.156852
36.822954,127.155844
36.82315875,127.155743
36.82277474,127.155613
36.824937,127.153481
36.824958,127.152658
36.824811,127.152783
36.824784,127.153337
36.824579,127.153343
36.824501,127.152958
36.824584,127.152779
36.824483,127.152744
36.823035,127.153957
36.823219,127.152741
36.823153,127.152606
36.823252,127.152524
36.823427,127.151242
36.823364,127.151118
36.821879,127.152196
36.821256,127.152156
36.822033,127.150842
36.821856,127.150744
36.785642,127.112044
36.7995452,127.106336
36.797215,127.106653
36.7969671,127.106119
36.796977,127.1066903
36.7995452,127.106673
36.796226,127.106377
36.795498,127.106557
36.795587,127.1066903
36.797527,127.108127
36.797746,127.108186
36.797448,127.108368
36.797677,127.108465
36.795254,127.097966
36.795201,127.098241
36.794935,127.097962
36.794882,127.098223
36.796182,127.100551
36.796449,127.100789
36.796022,127.100899
36.796277,127.101109
36.792827,127.096039
36.792988,127.095971
36.800309,127.111039
36.800783,127.111838
36.800362,127.099568
36.800432,127.099973
36.80037249,127.099799
36.800224,127.099582
36.79786574,127.100044
36.798971,127.099808
36.801623,127.105681
36.801781,127.105476
36.801536,127.105226
36.801392,127.105425
36.801328,127.1045284
36.80138291,127.1045284
36.801773,127.105239
36.801931,127.105864
36.8001402,127.103928
36.799911,127.104152
36.79979636,127.104067
36.799785,127.104372
36.79954522,127.104207
36.799981,127.105007
36.800057,127.105345
36.799982,127.105368
36.799886,127.105382
36.798405,127.104669
36.796801,127.102785
36.796599,127.102979
36.796538,127.102684
36.796402,127.102878
36.79550257,127.101393
36.797469,127.104909
36.796899,127.104756
36.796934,127.105063
36.797105,127.104853
36.796731,127.104952
36.796116,127.105689
36.800886,127.107613
36.800839,127.107468
36.800489,127.107491
36.800254,127.107606
36.801749,127.108721
36.800364,127.108722
36.800337,127.109426
36.800293,127.109334
36.800266,127.109958
36.800029,127.105945
36.800176,127.106335
36.800023,127.1064636
36.800079,127.107566
36.799963,127.108268
36.798391,127.108019
36.799811,127.1082488
36.79938771,127.108543
36.800037,127.108453
36.799773,127.109091
36.799648,127.109042
36.799104,127.108785
36.829524,127.189251
36.829551,127.188514
36.829473,127.188321
36.829571,127.188177
36.82958475,127.187823
36.829696,127.186602
36.829641,127.186665
36.82961764,127.186515
36.829987,127.181118
36.828727,127.169556
36.828434,127.166384
36.827013,127.156458
36.827023,127.156315
36.828139,127.158229
36.827507,127.157241
36.826551,127.155633
36.826427,127.1552425
36.826975,127.155385
36.827863,127.158649
